Dimension;Density;Algorithm;Num_Robots;Time;Overlapping
10;5;MSTC*;4;239,06998553317615;0,13648293963254593
10;5;TMSTC*;4;238,1281385170957;0,14173228346456693
10;5;MSTC*;2;432,98528137423864;0,06561679790026247
10;5;TMSTC*;2;443,6995670885243;0,09973753280839895
10;5;MSTC*;4;266,1119768530818;0,2152230971128609
10;5;TMSTC*;4;253,45656564184188;0,2125984251968504
10;5;MSTC*;2;439,4271283903193;0,06561679790026247
10;5;TMSTC*;2;439,4271283903193;0,06561679790026247
10;5;MSTC*;4;265,58326112068517;0,2073490813648294
10;5;TMSTC*;4;269,69740253114566;0,2020997375328084
10;5;MSTC*;2;444,5699855331764;0,06824146981627296
10;5;TMSTC*;2;445,1708513561277;0,047244094488188976
10;5;MSTC*;4;246,81298697985855;0,16535433070866143
10;5;TMSTC*;4;259,67012983700135;0,23622047244094488
10;5;MSTC*;2;428,5994227846991;0,06036745406824147
10;5;TMSTC*;2;426,4425685352067;0,06824146981627296
10;5;MSTC*;4;243,3704184446519;0,1732283464566929
10;5;TMSTC*;4;256,68412694363667;0,1994750656167979
10;5;MSTC*;2;436,1561327303662;0,05774278215223097
10;5;TMSTC*;2;445,5979797464467;0,08398950131233596
10;5;MSTC*;4;255,89769113879612;0,15748031496062992
10;5;TMSTC*;4;253,5279942132705;0,2047244094488189
10;5;MSTC*;2;454,4411254969543;0,09448818897637795
10;5;TMSTC*;2;448,3851370704134;0,09711286089238845
10;5;MSTC*;4;252,0405482816533;0,18110236220472442
10;5;TMSTC*;4;256,54199131990566;0,2125984251968504
10;5;MSTC*;2;451,0125540683831;0,09186351706036745
10;5;TMSTC*;2;440,5279942132706;0,09186351706036745
10;5;MSTC*;4;248,15541121124;0,13123359580052493
10;5;TMSTC*;4;257,8424242313814;0,2152230971128609
10;5;MSTC*;2;427,09942278469913;0,047244094488188976
10;5;TMSTC*;2;446,48455985511237;0,08661417322834646
10;5;MSTC*;4;244,6988455693981;0,14435695538057744
10;5;TMSTC*;4;262,97056274847716;0,2388451443569554
10;5;MSTC*;2;429,0707070523025;0,03937007874015748
10;5;TMSTC*;2;450,5272726941443;0,09186351706036745
10;5;MSTC*;4;242,9705627484771;0,14435695538057744
10;5;TMSTC*;4;274,17012983700147;0,27296587926509186
10;5;MSTC*;2;428,75627703419144;0,04461942257217848
10;5;TMSTC*;2;426,2989898732234;0,03937007874015748
